iter	RMSE
0	0.393036146
1	0.3617801664
2	0.3351740172
3	0.3113256676
4	0.2902019605
5	0.2720002744
6	0.2551876613
7	0.2400895385
8	0.2269996865
9	0.2163309813
10	0.2065034901
11	0.198699861
12	0.1913886168
13	0.184922787
14	0.1804719055
15	0.1755512525
16	0.1715530141
17	0.1682648104
18	0.1651230504
19	0.162256035
20	0.1599739223
21	0.1579484277
22	0.156133877
23	0.1543105884
24	0.1528196875
25	0.1516570482
26	0.1502240994
27	0.1487708744
28	0.147697913
29	0.1468093274
30	0.1459461589
31	0.1452503528
32	0.1447074299
33	0.1439055082
34	0.1428759718
35	0.1420519185
36	0.141271554
37	0.1408564441
38	0.140294124
39	0.1402284367
40	0.1399286207
41	0.139166711
42	0.1388881863
43	0.1384416376
44	0.1378119173
45	0.1373794306
46	0.1368208758
47	0.1364782266
48	0.1359959368
49	0.1356290981
50	0.135320375
51	0.1350047228
52	0.1342467083
53	0.133881701
54	0.1336733038
55	0.1334693597
56	0.1329460364
57	0.1326272992
58	0.1322343712
59	0.1316740824
60	0.1313006255
61	0.130990332
62	0.1301521101
63	0.1299019688
64	0.1294896971
65	0.1290737779
66	0.1288310971
67	0.1285301453
68	0.1282024275
69	0.1278855783
70	0.1275599605
71	0.1270897973
72	0.1268840654
73	0.1266569364
74	0.1264629008
75	0.1259628802
76	0.1257278371
77	0.1252327817
78	0.1250074867
79	0.1245806998
80	0.1244349414
81	0.1239644255
82	0.123820843
83	0.1236421351
84	0.1232508529
85	0.1231114561
86	0.1229110971
87	0.1226991213
88	0.1225109765
89	0.1219618867
90	0.12174132
91	0.1215108759
92	0.1210989325
93	0.1209239538
94	0.1206548679
95	0.1202841774
96	0.1200330845
97	0.1197152644
98	0.1194844944
99	0.1192547497
100	0.1190643047
101	0.1188700532
102	0.1187248505
103	0.1182743344
104	0.1179655367
105	0.1175346229
106	0.1171534703
107	0.1168709479
108	0.1167099386
109	0.1165151329
110	0.1160182088
111	0.1158659335
112	0.115463819
113	0.1151997332
114	0.1147095725
115	0.1143781942
116	0.1142168403
117	0.1137683992
118	0.1135654055
119	0.1131659719
120	0.112726623
121	0.1126291041
122	0.1121089715
123	0.1119413597
124	0.1115327516
125	0.1113177917
126	0.1110992951
127	0.110792476
128	0.1105787483
129	0.1102107368
130	0.1100104194
131	0.109836344
132	0.1095175042
133	0.1091987024
134	0.1088978673
135	0.1085198982
136	0.1082129978
137	0.1079815396
138	0.1077875556
139	0.1075529422
140	0.1071028361
141	0.1069087347
142	0.1066105546
143	0.1063042306
144	0.1061775849
145	0.1059374446
146	0.1056050783
147	0.1054307984
148	0.1053055643
149	0.1050504357
150	0.104849362
151	0.1047268398
152	0.104583979
153	0.1044266916
154	0.1041751102
155	0.1040029954
156	0.1038670235
157	0.1036626933
158	0.1033208567
159	0.1031090312
160	0.102790618
161	0.1025468586
162	0.1023941668
163	0.1022596203
164	0.1020652955
165	0.1018113075
166	0.1016545423
167	0.1014120849
168	0.1013256079
169	0.1010726506
170	0.1008285004
171	0.1006597699
172	0.1004491398
173	0.1002637787
174	0.100127686
175	0.1000482561
176	0.09997320245
177	0.09971967999
178	0.09941895188
179	0.09928171369
180	0.09918171593
181	0.09869419678
182	0.0984626388
183	0.09819277543
184	0.09801511316
185	0.09783308668
186	0.09764093164
187	0.09744307262
188	0.09727520073
189	0.09700763141
190	0.09660460562
191	0.09636372546
192	0.09612265753
193	0.09594464212
194	0.09568069968
195	0.09550909964
196	0.09523263231
197	0.09515694013
198	0.09495448734
199	0.09475701847
200	0.09465764406
201	0.09449282758
202	0.09425252115
203	0.09409057291
204	0.09389688177
205	0.09368447258
206	0.09348327454
207	0.09328246385
208	0.09316381202
209	0.09301818178
210	0.09281100414
211	0.09246828904
212	0.09230313886
213	0.09213157602
214	0.0920079344
215	0.09188337216
216	0.09180132445
217	0.09165976257
218	0.09149894738
219	0.09128554815
220	0.09106892576
221	0.09090195826
222	0.09060437837
223	0.09049054977
224	0.09023424835
225	0.09004232479
226	0.08992630812
227	0.0898239981
228	0.0897578687
229	0.08960009003
230	0.08946204123
231	0.08929308728
232	0.08921289587
233	0.08897625931
234	0.0887991529
235	0.08864649324
236	0.08843177645
237	0.08830664236
238	0.08813086119
239	0.08794849429
240	0.08781583685
241	0.08765026527
242	0.08746522566
243	0.08719141686
244	0.08703172096
245	0.08685401131
246	0.08660212377
247	0.08649065265
248	0.08634334902
249	0.08622928744
250	0.08604826815
251	0.08600354043
252	0.08590415825
253	0.08574520664
254	0.08553689214
255	0.08536627871
256	0.08523779266
257	0.08510756765
258	0.08498658316
259	0.08488008715
260	0.08476556385
261	0.08467327076
262	0.08459775546
263	0.0844318746
264	0.0842773057
265	0.08412623723
266	0.08396195546
267	0.08385398313
268	0.0837245896
269	0.08356593431
270	0.08338951551
271	0.08329096347
272	0.08320762177
273	0.08309237995
274	0.08298314587
275	0.08270100641
276	0.08263108615
277	0.08252470808
278	0.0824542101
279	0.08231777523
280	0.08212752253
281	0.08195885638
282	0.08181611521
283	0.08174047487
284	0.0816083037
285	0.08151697986
286	0.08134837368
287	0.08116469746
288	0.08106338702
289	0.08094061251
290	0.08086591855
291	0.080745389
292	0.08065988693
293	0.08050862948
294	0.08034321845
295	0.08028519902
296	0.0801603531
297	0.08009858733
298	0.07994901774
299	0.07981636453
300	0.07971862436
301	0.0796231883
302	0.07949953574
303	0.07937172072
304	0.07924596243
305	0.07910202764
306	0.07895092999
307	0.07882531164
308	0.07865564489
309	0.07851480493
310	0.0784108364
311	0.07832887969
312	0.07822816418
313	0.07813300492
314	0.07806021822
315	0.07792266827
316	0.07778429507
317	0.07773518092
318	0.07756481252
319	0.07740381069
320	0.07723395062
321	0.07717334011
322	0.07696369494
323	0.07687349555
324	0.07673195854
325	0.07668723349
326	0.07658735142
327	0.07650206382
328	0.0764522862
329	0.07639012707
330	0.07625842126
331	0.07612598053
332	0.07604138945
333	0.07595510712
334	0.07586921411
335	0.07580464059
336	0.07565830598
337	0.07556484348
338	0.07550604996
339	0.07536998781
340	0.07529716226
341	0.07519540149
342	0.07508423875
343	0.0749941186
344	0.07483898812
345	0.07472418515
346	0.07468895143
347	0.07460017
348	0.0745545417
349	0.07442947814
350	0.07431136055
351	0.07418146981
352	0.07414605252
353	0.0740294135
354	0.07386620718
355	0.07371817988
356	0.07362059657
357	0.07348650271
358	0.07342113613
359	0.07329860992
360	0.07319793529
361	0.0730884574
362	0.07297573954
363	0.07284881428
364	0.07268917088
365	0.07258511578
366	0.0724855158
367	0.07235173213
368	0.0722279504
369	0.07211900223
370	0.07191565935
371	0.07180188067
372	0.07172092538
373	0.07161980475
374	0.07151310776
375	0.07146601372
376	0.07133790609
377	0.0712695712
378	0.071175939
379	0.07105506895
380	0.0709505462
381	0.07088501306
382	0.0708017958
383	0.07068520448
384	0.07064237761
385	0.070493243
386	0.07042619988
387	0.07033211711
388	0.07026889028
389	0.07022373592
390	0.0701180284
391	0.07002943834
392	0.06992693901
393	0.0698597642
394	0.06972577899
395	0.06961456755
396	0.069532092
397	0.06944786884
398	0.06936250288
399	0.06917341109
400	0.06899307962
401	0.06890874629
402	0.06880374793
403	0.06873019111
404	0.06865134339
405	0.0685549919
406	0.06852620326
407	0.06839533532
408	0.0683046612
409	0.06821320858
410	0.06813534725
411	0.06804551302
412	0.0679428582
413	0.06790438466
414	0.0678423995
415	0.0678033644
416	0.06772945842
417	0.0676896808
418	0.06764999144
419	0.06757769583
420	0.06745841288
421	0.06742128917
422	0.06723753333
423	0.06718793665
424	0.06714339079
425	0.06708133957
426	0.06695248419
427	0.0668616707
428	0.06676805761
429	0.06670283064
430	0.0666055896
431	0.06654939619
432	0.06642270474
433	0.06637629394
434	0.06633601183
435	0.06622170832
436	0.06612783731
437	0.06607250237
438	0.06601353974
439	0.06593720916
440	0.06577551582
441	0.06568775198
442	0.06560249276
443	0.06547574943
444	0.06534863638
445	0.06531214942
446	0.06524614084
447	0.06517375794
448	0.06507548269
449	0.06501901161
450	0.064997432
451	0.06494096309
452	0.06485613772
453	0.06475605224
454	0.06469068517
455	0.06461661721
456	0.06447384648
457	0.06438723772
458	0.064331127
459	0.06421554988
460	0.06418269668
461	0.06406649843
462	0.06398887173
463	0.06390453067
464	0.06383845077
465	0.06377669185
466	0.06369528491
467	0.06361534263
468	0.06357217024
469	0.06346784551
470	0.06334692182
471	0.06330297786
472	0.06323710616
473	0.06319440641
474	0.06306983799
475	0.06301341256
476	0.06298894671
477	0.06294517704
478	0.06281461492
479	0.06270036138
480	0.06266726894
481	0.06258393225
482	0.06248686181
483	0.0624203343
484	0.0623343268
485	0.06224558021
486	0.0621639558
487	0.06206040609
488	0.06191488698
489	0.06183438388
490	0.06176397624
491	0.06173136128
492	0.06159937847
493	0.06152365481
494	0.06145665001
495	0.06140560812
496	0.06136058127
497	0.06129359056
498	0.06120035478
499	0.06115038745
