iter	Passed	Remaining
0	104	52284
1	114	28564
2	125	20853
3	136	16875
4	145	14424
5	153	12669
6	161	11343
7	167	10318
8	175	9549
9	182	8957
10	188	8401
11	194	7924
12	201	7538
13	207	7206
14	213	6909
15	219	6647
16	225	6412
17	231	6199
18	237	6002
19	242	5830
20	248	5675
21	254	5533
22	260	5409
23	267	5305
24	273	5200
25	279	5100
26	285	5009
27	292	4924
28	298	4841
29	303	4761
30	309	4687
31	315	4611
32	321	4543
33	326	4476
34	332	4414
35	338	4357
36	344	4306
37	350	4257
38	355	4204
39	357	4115
40	363	4067
41	369	4029
42	375	3988
43	381	3955
44	387	3915
45	393	3881
46	399	3848
47	405	3818
48	411	3785
49	416	3752
50	422	3721
51	428	3689
52	434	3662
53	440	3636
54	445	3608
55	451	3581
56	457	3554
57	462	3527
58	468	3503
59	474	3481
60	480	3455
61	485	3431
62	491	3409
63	497	3388
64	502	3365
65	508	3343
66	513	3321
67	519	3302
68	525	3283
69	531	3266
70	537	3247
71	543	3229
72	548	3211
73	554	3193
74	560	3175
75	566	3159
76	571	3142
77	577	3125
78	583	3110
79	589	3092
80	594	3074
81	599	3058
82	605	3043
83	611	3029
84	617	3015
85	623	2999
86	628	2985
87	634	2971
88	640	2957
89	646	2944
90	651	2930
91	657	2916
92	663	2904
93	669	2891
94	675	2878
95	680	2865
96	687	2857
97	694	2849
98	701	2839
99	706	2826
100	712	2814
101	718	2802
102	723	2789
103	730	2782
104	736	2771
105	742	2760
106	749	2752
107	755	2741
108	761	2730
109	767	2720
110	773	2710
111	779	2698
112	785	2689
113	791	2681
114	797	2670
115	803	2660
116	809	2649
117	815	2640
118	821	2629
119	827	2619
120	833	2609
121	839	2599
122	845	2590
123	850	2580
124	856	2570
125	862	2561
126	869	2553
127	875	2545
128	882	2537
129	888	2527
130	893	2517
131	899	2508
132	906	2500
133	912	2491
134	918	2482
135	923	2472
136	929	2462
137	935	2454
138	941	2445
139	947	2435
140	952	2426
141	958	2416
142	964	2406
143	969	2397
144	975	2388
145	981	2379
146	986	2370
147	992	2360
148	998	2351
149	1004	2343
150	1009	2333
151	1015	2324
152	1021	2315
153	1026	2306
154	1032	2297
155	1037	2288
156	1043	2279
157	1049	2270
158	1054	2262
159	1060	2253
160	1066	2244
161	1071	2236
162	1077	2227
163	1083	2218
164	1088	2210
165	1094	2202
166	1101	2195
167	1107	2189
168	1113	2180
169	1119	2172
170	1124	2164
171	1130	2156
172	1136	2148
173	1142	2140
174	1148	2132
175	1153	2124
176	1159	2116
177	1166	2109
178	1172	2102
179	1178	2095
180	1183	2086
181	1189	2078
182	1195	2070
183	1200	2062
184	1206	2054
185	1212	2046
186	1218	2039
187	1223	2031
188	1230	2024
189	1235	2016
190	1241	2008
191	1247	2000
192	1252	1992
193	1258	1984
194	1264	1977
195	1269	1969
196	1275	1961
197	1280	1953
198	1286	1945
199	1291	1937
200	1297	1930
201	1303	1923
202	1309	1915
203	1315	1908
204	1320	1900
205	1326	1893
206	1332	1885
207	1337	1878
208	1343	1870
209	1349	1863
210	1356	1857
211	1362	1850
212	1367	1843
213	1373	1835
214	1379	1827
215	1384	1820
216	1390	1813
217	1396	1806
218	1401	1798
219	1407	1791
220	1413	1784
221	1419	1777
222	1425	1770
223	1431	1763
224	1437	1756
225	1443	1750
226	1449	1743
227	1455	1736
228	1460	1728
229	1466	1721
230	1472	1714
231	1478	1707
232	1483	1700
233	1489	1692
234	1494	1685
235	1500	1678
236	1505	1671
237	1511	1663
238	1516	1656
239	1522	1649
240	1527	1641
241	1533	1634
242	1538	1627
